Id,Predict
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,1
8,2
9,2
10,1
11,2
12,1
13,2
14,2
15,2
16,0
17,1
18,1
19,1
20,2
21,0
22,0
23,2
24,2
25,2
26,1
27,1
28,0
29,2
30,0
31,1
32,2
33,2
34,1
35,2
36,1
37,2
38,2
39,0
40,2
41,1
42,2
43,1
44,1
45,2
46,2
47,1
48,2
49,0
50,0
51,1
52,1
53,2
54,1
55,1
56,1
57,0
58,2
59,0
60,2
61,0
62,0
63,0
64,2
65,1
66,2
67,2
68,2
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,2
84,2
85,2
86,2
87,1
88,1
89,0
90,2
91,0
92,1
93,1
94,1
95,0
96,1
97,2
98,2
99,2
100,1
101,2
102,2
103,2
104,2
105,2
106,0
107,2
108,2
109,2
110,2
111,0
112,1
113,0
114,1
115,2
116,1
117,1
118,0
119,1
120,1
121,2
122,2
123,2
124,2
125,0
126,2
127,1
128,0
129,1
130,2
131,1
132,1
133,2
134,0
135,0
136,2
137,2
138,2
139,2
140,1
141,2
142,2
143,1
144,0
145,0
146,2
147,2
148,0
149,1
150,1
151,1
152,1
153,2
154,2
155,1
156,2
157,1
158,2
159,0
160,1
161,1
162,2
163,1
164,0
165,0
166,1
167,2
168,2
169,1
170,2
171,0
172,2
173,2
174,1
175,1
176,2
177,1
178,1
179,1
180,2
181,1
182,2
183,0
184,2
185,0
186,1
187,0
188,0
189,2
190,2
191,2
192,1
193,1
194,0
195,0
196,2
197,0
198,0
199,0
200,0
201,2
202,1
203,0
204,1
205,1
206,1
207,1
208,2
209,2
210,2
211,0
212,1
213,2
214,2
215,2
216,2
217,1
218,0
219,1
220,0
221,0
222,0
223,2
224,2
225,0
226,1
227,0
228,0
229,1
230,1
231,2
232,1
233,0
234,2
235,0
236,0
237,2
238,1
239,1
240,1
241,2
242,1
243,0
244,1
245,1
246,2
247,1
248,1
249,2
250,1
251,2
252,1
253,0
254,2
255,1
256,1
257,0
258,0
259,0
260,2
261,1
262,2
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,2
272,1
273,1
274,1
275,2
276,1
277,1
278,2
279,2
280,0
281,0
282,1
283,2
284,1
285,1
286,2
287,2
288,1
289,2
290,0
291,1
292,2
293,0
294,0
295,1
296,0
297,2
298,1
299,1
300,0
301,0
302,2
303,1
304,2
305,2
306,2
307,2
308,2
309,0
310,2
311,1
312,2
313,1
314,0
315,1
316,2
317,0
318,1
319,2
320,0
321,0
322,1
323,2
324,2
325,2
326,1
327,2
328,0
329,1
330,2
331,0
332,1
333,0
334,1
335,1
336,2
337,1
338,1
339,2
340,0
341,1
342,0
343,1
344,2
345,1
346,0
347,0
348,2
349,2
350,1
351,0
352,1
353,1
354,2
355,1
356,0
357,1
358,0
359,0
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,2
372,2
373,1
374,1
375,1
376,1
377,2
378,1
379,1
380,0
381,2
382,2
383,2
384,2
385,0
386,0
387,0
388,2
389,2
390,2
391,0
392,2
393,1
394,1
395,1
396,2
397,1
398,1
399,1
400,2
401,2
402,1
403,2
404,2
405,1
406,2
407,2
408,1
409,0
410,1
411,1
412,1
413,2
414,2
415,2
416,0
417,2
418,0
419,0
420,1
421,2
422,1
423,1
424,2
425,2
426,0
427,1
428,1
429,0
430,0
431,2
432,1
433,1
434,2
435,1
436,1
437,1
438,1
439,2
440,2
441,0
442,2
443,1
444,2
445,1
446,1
447,1
448,2
449,0
450,1
451,1
452,2
453,2
454,1
455,1
456,2
457,1
458,2
459,1
460,1
461,0
462,2
463,0
464,1
465,1
466,1
467,1
468,1
469,2
470,2
471,2
472,0
473,1
474,1
475,2
476,0
477,0
478,0
479,1
480,2
481,1
482,1
483,2
484,1
485,0
486,2
487,1
488,2
489,2
490,1
491,2
492,0
493,1
494,1
495,1
496,0
497,1
498,0
499,2
500,0
501,1
502,2
503,0
504,1
505,1
506,1
507,1
508,0
509,2
510,1
511,2
512,1
513,0
514,0
515,1
516,1
517,2
518,2
519,1
520,2
521,2
522,2
523,2
524,2
525,1
526,1
527,2
528,1
529,0
530,1
531,2
532,2
533,2
534,1
535,1
536,0
537,2
538,2
539,2
540,0
541,1
542,1
543,2
544,1
545,2
546,0
547,2
548,1
549,0
550,1
551,2
552,2
553,2
554,2
555,1
556,1
557,2
558,2
559,1
560,1
561,0
562,2
563,0
564,1
565,2
566,0
567,2
568,0
569,1
570,1
571,1
572,1
573,1
574,1
575,0
576,2
577,2
578,2
579,2
580,0
581,1
582,1
583,1
584,2
585,0
586,1
587,2
588,2
589,1
590,2
591,2
592,2
593,2
594,1
595,0
596,2
597,0
598,2
599,2
600,1
601,1
602,2
603,2
604,0
605,1
606,2
607,1
608,2
609,1
610,2
611,0
612,2
613,1
614,1
615,2
616,2
617,1
618,2
619,1
620,2
621,1
622,2
623,1
624,2
625,0
626,2
627,0
628,0
629,1
630,2
631,1
632,1
633,0
634,1
635,2
636,0
637,1
638,0
639,2
640,2
641,0
642,0
643,2
644,1
645,1
646,2
647,1
648,2
649,2
650,1
651,1
652,0
653,0
654,0
655,1
656,0
657,1
658,2
659,1
660,2
661,2
662,0
663,2
664,0
665,1
666,1
667,2
668,1
669,1
670,0
671,1
672,2
673,1
674,2
675,1
676,2
677,2
678,2
679,0
680,1
681,2
682,1
683,0
684,1
685,2
686,2
687,0
688,2
689,0
690,2
691,2
692,1
693,1
694,0
695,2
696,2
697,0
698,0
699,1
700,0
701,2
702,0
703,1
704,2
705,2
706,1
707,2
708,1
709,0
710,1
711,2
712,2
713,1
714,0
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,2
723,1
724,2
725,1
726,0
727,2
728,2
729,0
730,0
731,2
732,1
733,0
734,1
735,2
736,0
737,1
738,0
739,0
740,0
741,0
742,1
743,2
744,1
745,1
746,0
747,1
748,1
749,2
750,0
751,2
752,0
753,0
754,2
755,2
756,1
757,2
758,1
759,0
760,0
761,2
762,1
763,2
764,0
765,2
766,1
767,1
768,0
769,1
770,1
771,2
772,0
773,1
774,1
775,1
776,0
777,2
778,2
779,2
780,1
781,1
782,0
783,2
784,1
785,1
786,2
787,1
788,1
789,2
790,1
791,2
792,1
793,2
794,2
795,0
796,0
797,1
798,1
799,2
800,2
801,1
802,1
803,0
804,0
805,1
806,2
807,2
808,2
809,1
810,2
811,2
812,2
813,2
814,0
815,2
816,0
817,1
818,1
819,0
820,0
821,2
822,2
823,1
824,2
825,2
826,1
827,1
828,2
829,1
830,2
831,2
832,1
833,2
834,1
835,2
836,0
837,1
838,1
839,1
840,1
841,1
842,2
843,2
844,2
845,0
846,1
847,2
848,2
849,1
850,1
851,2
852,1
853,1
854,2
855,1
856,1
857,0
858,2
859,1
860,1
861,2
862,1
863,2
864,1
865,0
866,2
867,0
868,0
869,2
870,1
871,2
872,2
873,1
874,1
875,2
876,0
877,2
878,0
879,1
880,1
881,1
882,2
883,2
884,2
885,1
886,2
887,0
888,2
889,1
890,2
891,2
892,2
893,1
894,1
895,1
896,1
897,2
898,0
899,0
900,2
901,2
902,2
903,0
904,2
905,2
906,1
907,0
908,1
909,1
910,2
911,2
912,1
913,0
914,2
915,1
916,2
917,1
918,2
919,1
920,1
921,1
922,2
923,1
924,2
925,2
926,2
927,1
928,2
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,2
937,1
938,0
939,0
940,2
941,2
942,1
943,0
944,1
945,1
946,2
947,2
948,2
949,2
950,0
951,2
952,1
953,2
954,2
955,0
956,2
957,2
958,1
959,1
960,2
961,1
962,2
963,2
964,1
965,0
966,0
967,1
968,0
969,2
970,1
971,1
972,1
973,1
974,1
975,2
976,2
977,2
978,1
979,1
980,0
981,1
982,2
983,1
984,1
985,1
986,0
987,1
988,1
989,2
990,0
991,0
992,2
993,1
994,2
995,1
996,1
997,2
998,1
999,2
